county_name,region,overall_uninsured,white_uninsured,black_uninsured,hispanic_uninsured,black_white_gap,hispanic_white_gap,pct_black,pct_hispanic
Cumberland,South,15.2,9.2,21.4,28.4,12.2,19.2,15.8,38.4
Salem,South,12.6,8.8,19.2,24.6,10.4,15.8,20.8,8.4
Atlantic,South,12.8,7.4,16.8,22.6,9.4,15.2,16.4,17.8
Passaic,North,11.4,8.2,17.2,23.8,9.0,15.6,10.4,38.8
Essex,North,10.6,7.2,15.8,21.6,8.6,14.4,38.8,21.2
Hudson,North,10.8,7.8,16.4,22.8,8.6,15.0,17.2,40.8
Camden,South,9.8,6.8,14.8,20.4,8.0,13.6,20.8,19.2
Union,North,8.6,6.2,13.8,18.4,7.6,12.2,22.4,28.8
Mercer,Central,8.2,6.2,13.4,17.8,7.2,11.6,21.2,18.4
Cape May,South,7.6,5.2,12.2,16.8,7.0,11.6,2.4,7.8
Gloucester,South,6.6,4.8,10.8,14.4,6.0,9.6,10.8,8.4
Ocean,South,6.8,5.0,10.8,15.2,5.8,10.2,2.4,7.4
Warren,North,6.6,4.8,10.6,15.2,5.8,10.4,3.2,8.4
Middlesex,Central,6.4,4.4,10.2,14.2,5.8,9.8,8.4,14.8
Bergen,North,5.6,4.2,9.8,12.4,5.6,8.2,5.6,17.6
Burlington,Central,6.2,4.8,10.4,14.6,5.6,9.8,13.2,9.2
Monmouth,Central,5.2,3.8,9.4,12.8,5.6,9.0,6.8,9.2
Sussex,North,6.2,4.6,10.2,13.8,5.6,9.2,1.4,7.2
Somerset,Central,4.4,3.2,8.4,10.8,5.2,7.6,8.4,12.4
Morris,North,4.6,3.4,8.6,11.2,5.2,7.8,3.2,10.8
Hunterdon,North,3.8,3.2,7.2,8.6,4.0,5.4,1.8,6.4
